"","HRUU1","HRUU10","HRUU11","HRUU12","HRUU13","HRUU14","HRUU15","HRUU16","HRUU17","HRUU18","HRUU19","HRUU2","HRUU20","HRUU21","HRUU22","HRUU23","HRUU24","HRUU25","HRUU26","HRUU3","HRUU4","HRUU5","HRUU6","HRUU7","HRUU8","HRUU9","Domain","Phylum","Class","Order","Family"
"Haliangiaceae",0.000161812297734628,0.000398681692536679,0.000436788512462122,0,0.00121293800539084,0.000421458245529532,0,0.00089974293059126,0.000293375579416769,0,0.00588353279400949,0.000384122919334187,0.00184044737028385,0.00070298769771529,0.0013431403901503,0,0.00071765429567357,0,0,0,0,0,0,0.000331107554770708,0.000496801838166801,0.000345781466113416,"Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae"
"Halieaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00129838513349022,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halieaceae"
"Holophagaceae",0.000215749730312837,0.000159472677014671,0.000136496410144413,0.00044762757385855,0,0,0.000314004605400879,0.00077120822622108,0.000352050695300123,0.000782647584973166,0,0,0.000920223685141927,0,0,0,0,0,0,0,0,0,0,0,0,0.000345781466113416,"Bacteria","Acidobacteriota","Holophagae","Holophagales","Holophagaceae"
"Holosporaceae",0,0.000611311928556241,0.000846277742895362,0.00216353327364966,0.00168463611859838,0,0.000314004605400879,0,0.000645426274716893,0,0.00254061643377683,0.000704225352112676,0.00162808805832802,0.000492091388400703,0.000767508794371602,0.00213280250248827,0.00102522042239081,0.000608618031323541,0,0,0,0.000365336840567003,0,0.00121406103415926,0.000807302987021052,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Holosporales","Holosporaceae"
"Hyphomicrobiaceae",0.0509978425026969,0.0591377843929407,0.0609319974884661,0.0862429125634139,0.0830862533692722,0.0733337347221386,0.0722733933431024,0.0624035989717224,0.0550959338144693,0.0589221824686941,0.0378418131978338,0.0546734955185659,0.0505415162454874,0.100175746924429,0.0661336744483531,0.0521114744774634,0.0797108878408858,0.00158240688144121,0.000803994583615437,0,0.000878734622144112,0.00124214525792781,0.000303250849102377,0.0714088626455494,0.0635285350555797,0.0643153526970954,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae"
"Hyphomonadaceae",0.000431499460625674,0.00244524771422496,0.0025115339466572,0.00298418382572366,0.0045822102425876,0.00409416581371546,0.00455306677831275,0.00347043701799486,0.00868391715073637,0.00855322003577818,0.00808985759176305,0.00268886043533931,0.00991010122460536,0.00611599297012302,0.00511672529581068,0.00369685767097967,0.0030244002460529,0.000243447212529417,0.00110020311442112,0,0,0,0.000485201358563804,0.00342144473263065,0.00329131217785506,0.00403411710465652,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae"
"Iamiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000876808417360807,0,0,0,0,"Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Iamiaceae"
"Ilumatobacteraceae",0.0132686084142395,0.0236551137571763,0.0221124184433949,0.0108176663682483,0.00768194070080863,0.0172797880667108,0.0220326564789617,0.0129820051413882,0.0175438596491228,0.0300201252236136,0.019856923179782,0.0119718309859155,0.0179797550789269,0.00513181019332162,0.00952990086344739,0.00639840750746481,0.0161984826737749,0.00949444128864724,0.0126946513202437,0.000912486811714049,0.00219683655536028,0.0135905304690925,0.0110383309073265,0.018707576844545,0.0158976588213376,0.0199976947902259,"Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae"
"IMCC26256",0.00102481121898598,0.00356155645332766,0.00278452676694603,0.00589376305580424,0.00505390835579515,0.00445541573845505,0.00591375340171656,0.00623393316195373,0.00140820278120049,0.000447227191413238,0.00574981613960019,0.00217669654289373,0.00637077935867488,0.00646748681898067,0.00422129836904381,0.00291483008673397,0.00630510559770351,0.000405745354215694,0.00050778605280975,0,0,0.00109601052170101,0,0.00535290546879311,0.00372601378625101,0.00547487321346242,"Bacteria","Actinobacteriota","Acidimicrobiia","IMCC26256","IMCC26256"
"Intrasporangiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000486894425058833,0,0,0,0,0,0,0,0,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae"
"Isosphaeraceae",0.0215210355987055,0.00826600042526047,0.00887226665938686,0.017905102954342,0.0245956873315364,0.0186043711240893,0.0219803223780615,0.0215938303341902,0.0183066361556064,0.042095259391771,0.0106973323527445,0.0197183098591549,0.00920223685141927,0.010896309314587,0.00645986568596098,0.00838902317645386,0.0158909165470576,0.0249533392842652,0.033175355450237,0.00108357808891043,0.00389153904092393,0.0131521262604121,0.0194080543425522,0.0224601291319464,0.0137241507793579,0.0277777777777778,"Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae"
"JG30-KF-CM45",0.0202535059331176,0.0180469912821603,0.0218394256231061,0,0.0111185983827493,0.0138479137816846,0.0135021980322378,0.013560411311054,0.0151968550137887,0,0.0337634552383499,0.00921895006402049,0.01578537552205,0,0.0282059481931564,0.0333428124555666,0.008816895632561,0,0,0,0,0,0,0.011533579824513,0.010370738371732,0.0162517289073306,"Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45"
"JG30-KF-CM66",0.00223840345199569,0.0069902190091431,0.00496846932925664,0.00917636526410027,0.0183288409703504,0.00650249864531278,0.0117228386016328,0.0170308483290488,0.00310978114181776,0.00301878354203936,0.0157117068930935,0.00160051216389245,0.014511219650315,0.0179261862917399,0.00511672529581068,0.00547419308971989,0.00912446175927824,0,0,0,0,0,0,0.0157276088516086,0.00807302987021052,0.0140041493775934,"Bacteria","Chloroflexi","JG30-KF-CM66","JG30-KF-CM66","JG30-KF-CM66"
"JG36-TzT-191",0.0103829557713053,0.0278279821390602,0.0220578198793372,0.0164876156371232,0.0123315363881402,0.0204106207477873,0.0144965459493406,0.0224935732647815,0.017074458722056,0.026721824686941,0.0307548305141405,0.0128040973111396,0.0356055779712607,0.0213005272407733,0.00677966101694915,0.00447888525522537,0.0190178388353496,0,0,0,0,0,0,0.028199326747972,0.0206793765136931,0.015387275242047,"Bacteria","Proteobacteria","Gammaproteobacteria","JG36-TzT-191","JG36-TzT-191"
"Kaistiaceae",0.00110571736785329,0.00536891345949394,0.00428598727853457,0.00678901820352134,0,0.0148714552351135,0,0,0.00440063369125154,0.00285107334525939,0.00568295781239553,0.00243277848911652,0.00672471154526793,0.00590509666080844,0,0,0.00404962066844372,0,0,0,0,0,0,0.00342144473263065,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Kaistiaceae"
"Kapabacteriales",0.00895361380798274,0.00220603869870296,0.00289372389506156,0.00872873769024172,0.0107142857142857,0.00903124811848998,0.00973414276742725,0.0101542416452442,0.00698233879011911,0.00419275491949911,0,0.00761843790012804,0,0.00632688927943761,0.00492484809721778,0.00483435233897341,0.00861185154808284,8.11490708431388e-05,0.000211577522004062,0,0,0,0,0.00579438220848739,0.0101223374526486,0.00576302443522361,"Bacteria","Bacteroidota","Kapabacteria","Kapabacteriales","Kapabacteriales"
"KD4-96",0.000943905070118662,0.00154156921114182,0.000900876306953127,0.00492390331244405,0.00357142857142857,0.00590041543741345,0.00654176261251832,0.00032133676092545,0.00140820278120049,0.000279516994633274,0.000869158253660493,0.00224071702944942,0.000778650810504707,0.0021792618629174,0.00383754397185801,0.00191952225223944,0.00123026450686898,0.00113608699180394,0.000930941096817874,0,0,0.000438404208680403,0.00230470645317807,0.00529772087633133,0.00558902067937651,0.00593591516828031,"Bacteria","Chloroflexi","KD4-96","KD4-96","KD4-96"
"Kineosporiaceae",0,0,0,0,0,0.000722499849479198,0,0.00057840616966581,0,0,0.0020057498161396,0,0.00283145749274439,0,0.000767508794371602,0.000568747333996872,0.000512610211195407,0,0.0003385240352065,0,0,0,0,0.000551845924617847,0,0,"Bacteria","Actinobacteriota","Actinobacteria","Kineosporiales","Kineosporiaceae"
"Lachnospiraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000365336840567003,0,0,0,0,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae"
"Lactobacillaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae"
"Latescibacterota",0,0,0,0,0,0.000301041603949666,0,0,0,0,0.000334291636023267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028815122176118,"Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota"
"Legionellaceae",0.000485436893203883,0.000265787795024452,0.000300292102317709,0.00126827812593256,0.000539083557951483,0.0016256246613282,0.000889679715302491,0.00141388174807198,0.00164290324473391,0.00167710196779964,0.00260747476098148,0.00134443021766965,0.00169887449564663,0.00175746924428822,0.00166293572113847,0.000924214417744917,0.0011277424646299,0.00255619573155887,0.00215809072444144,0.00028515212866064,0.000815967863419533,0.00306882946076282,0,0.000386292147232493,0,0.000518672199170124,"Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae"
"Lentimicrobiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000303250849102377,0,0,0,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae"
"Leptolyngbyaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000550101557210562,0,0,0,0,0,0,0,"Bacteria","Cyanobacteria","Cyanobacteriia","Leptolyngbyales","Leptolyngbyaceae"
"Limnochordaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000438404208680403,0.000303250849102377,0,0,0,"Bacteria","Firmicutes","Limnochordia","Limnochordales","Limnochordaceae"
"LiUU-11-161",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000365336840567003,0,0,0,0,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","LiUU-11-161"
"LWQ8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000253893026404875,0,0,0,0.000363901018922853,0,0,0,"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","LWQ8"
"Margulisbacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000545851528384279,0,0,0,"Bacteria","Margulisbacteria","Margulisbacteria","Margulisbacteria","Margulisbacteria"
"Methanoregulaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000511471576793804,0,0,0,0,"Archaea","Halobacterota","Methanomicrobia","Methanomicrobiales","Methanoregulaceae"
"Methylomonadaceae",0.00226537216828479,0.012359132468637,0.00840817886489585,0.00775887794688153,0.00734501347708895,0.0010837497742188,0.000523341009001465,0.00096401028277635,0.00111482720178372,0.00111806797853309,0.00207260814334425,0.00428937259923175,0.00198202024492107,0.00421792618629174,0.0104892868564119,0.0103085454286933,0.00404962066844372,0.00925099407611783,0.00558564658090724,0.00145427585616927,0.00295003766005523,0.00314189682887622,0.0094007763221737,0.00706362783510844,0.000310501148854251,0.00922083909635777,"Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae"
"Methylophilaceae",0.0131607335490831,0.0017010418881565,0.00117386912724195,0.000596836765144733,0.00141509433962264,0.00174604130290806,0.00277370734770777,0.00269922879177378,0.00968139412075339,0.00821779964221825,0.00287490806980009,0.0123559539052497,0.00417639980179798,0,0,0,0.000768915316793111,0.0238578268278828,0.0170108327691266,0.0229832615700476,0.0207130303791112,0.0298114861902674,0.0422731683648714,0.00148998399646819,0.00440911631373036,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae"
"Methylopilaceae",0,0,0,0,0,0,0,0.00032133676092545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylopilaceae"
"Microbacteriaceae",0.0299622437971953,0.00217945991920051,0.000382189948404357,0,0.00323450134770889,0.0012643747365886,0.00502407368641407,0.00739074550128535,0.00833186645543625,0.00793828264758497,0.0090258741726282,0.0243918053777209,0.00750336235577263,0,0.000831467860569236,0,0,0.113852146392924,0.124280636425186,0.0499016225156121,0.0459452673863922,0.0913342101417507,0.110868510431829,0.00248330666078031,0.00322921194808421,0.00322729368372522,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae"
"Micrococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000727802037845706,0,0,0,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae"
"Microcystaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000296208530805687,0,0,0.00204588630717522,0.000788452207666181,0,0,0,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcystaceae"
"Micromonosporaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00223159944818632,0.000846310088016249,0,0.000815967863419533,0.00365336840567003,0.00557981562348375,0,0.000496801838166801,0,"Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae"
"Micropepsaceae",0,0.000186051456517117,0.000136496410144413,0,0.000471698113207547,0,0.000523341009001465,0.00044987146529563,0.00187760370826732,0.000894454382826476,0.000267433308818613,0.000832266325224072,0.000424718623911659,0,0,0.000355467083748045,0,0.000324596283372555,0.00050778605280975,0,0,0,0.000363901018922853,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae"
"Microscillaceae",0.0011596548004315,0.00337550499681055,0.00357620594578363,0.0106684571769621,0.0130727762803234,0.00608104039978325,0.00366338706301026,0.00841902313624679,0.0118523734084375,0.00788237924865832,0.0117002072608143,0.00211267605633803,0.00495505061230268,0.00759226713532513,0.00179085385353374,0.00142186833499218,0.00394709862620463,0,0,0.000114060851464256,0,0.000584538944907204,0,0.00364218310247779,0.00652052412593927,0.00564776394651913,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae"
"Microtrichaceae",0.00533980582524272,0.00595364660854774,0.00510496573940105,0.00947478364667263,0.0113207547169811,0.0128243723282558,0.0110424952899309,0.0103470437017995,0.0116176729449041,0.00955948121645796,0.00374406632346059,0.00556978233034571,0.00297303036738161,0.00351493848857645,0.00716341541413495,0.00689606142471207,0.0105085093295058,0.00206930130650004,0.00241198375084631,0.000199606490062448,0,0.00248429051585562,0.00285055798156235,0.0102091496054302,0.00534061976029311,0.010488704472107,"Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae"
"Mitochondria",0,0.000159472677014671,0,0,0.000471698113207547,0.000301041603949666,0,0,0.000528076042950185,0,0.00227318312495821,0,0.000778650810504707,0,0,0,0,0.00068976710216668,0.001354096140826,0.000769910747383729,0.0024479035902586,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria"
"mle1-27",0.000242718446601942,0,0,0,0,0,0,0,0.000410725811183477,0,0,0.000512163892445583,0.000424718623911659,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Myxococcota","Polyangia","mle1-27","mle1-27"
"Moraxellaceae",0.000161812297734628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000461349190075866,0.000202872677107847,0.000211577522004062,0,0,0.000365336840567003,0.000667151868025231,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae"
"MWH-UniP1_aquatic_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000253893026404875,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","MWH-UniP1_aquatic_group"
"Mycobacteriaceae",0.00455771305285868,0.000478418031044014,0.000900876306953127,0.00246195165622202,0.00128032345013477,0.00234812451080739,0.00272137324680762,0.00212082262210797,0.000645426274716893,0,0.000869158253660493,0.00633802816901408,0,0,0.00108730412535977,0,0,0.0109145500284022,0.0115944482058226,0.00741395534517665,0.00991714787848355,0.0196551220225047,0.0132217370208637,0.000386292147232493,0,0.000864453665283541,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae"
"NB1-j",0,0,0,0.000373022978215458,0,0,0.000314004605400879,0,0,0,0.00120344988968376,0,0.00120336943441637,0.000773286467486819,0.000319795330988168,0.000639840750746481,0.000410088168956326,0,0,0,0,0,0,0.000717399702003201,0.000745202757250202,0.000403411710465652,"Bacteria","NB1-j","NB1-j","NB1-j","NB1-j"
"Neisseriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000486894425058833,0.000296208530805687,0,0,0.000803741049247406,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae"
"Nitrosomonadaceae",0.00509708737864078,0.00576759515203062,0.00505036717534329,0.00999701581617428,0.0150269541778976,0.0127039556866759,0.0121938455097341,0.0116966580976864,0.0123217743355043,0.0126900715563506,0.0131042321321121,0.00928297055057619,0.0149359382742267,0.0110369068541301,0.00262232171410297,0.00796246267595621,0.00999589911831044,0.00328653736914712,0.00740521327014218,0,0,0.00314189682887622,0,0.00943656531096518,0.0126684468732534,0.00386122637159982,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae"
"Nitrospiraceae",0.00822545846817692,0.060945141399107,0.0730528787092899,0.0153685467024769,0.0283018867924528,0.0273345776386297,0.0223466610843626,0.0200514138817481,0.0135539517690547,0.0133609123434705,0.0236009895032426,0.0127400768245839,0.0244213208749204,0.0150439367311072,0.043108410617205,0.0557372387316934,0.0355238876358417,0.000365170818794125,0.000550101557210562,0,0,0,0,0.0380221842061696,0.0214245792709433,0.0184416781927155,"Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae"
"Nocardiaceae",0,0,0,0,0,0,0,0,0.00451798392301825,0,0,0,0,0,0,0,0,0,0.000211577522004062,0,0,0.000584538944907204,0.000849102377486657,0,0,0,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae"
"Nocardioidaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000296208530805687,0,0,0,0,0,0,0,"Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae"
"NS11-12_marine_group",0.000431499460625674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000973788850117666,0.000423155044008125,0.00336479511819556,0.00357770524730103,0.00650299576209265,0.00424551188743328,0,0,0,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12_marine_group"
"NS9_marine_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00206930130650004,0.00165030467163169,0,0,0.00336109893321643,0.0032144590004852,0,0,0,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9_marine_group"
"Obscuribacteraceae",0.000377562028047465,0,0,0.000671441360787825,0.000606469002695418,0.000361249924739599,0.00109901611890308,0.00115681233933162,0.000293375579416769,0,0.000468008290432573,0.00121638924455826,0,0.000421792618629174,0.000895426926766869,0.000497653917247263,0,0,0,0,0,0,0,0.000993322664312124,0,0.000749193176579069,"Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae"
"OLB14",0.0155339805825243,0.0227514352540931,0.0239414703393301,0.0183527305282005,0.0154986522911051,0.0118610391956168,0.012507850115135,0.0173521850899743,0.00258170509886757,0.00709973166368515,0.00895901584542355,0.00979513444302177,0.0111842570963403,0.0239718804920914,0.0461784457946914,0.0425138632162662,0.0167623539060898,0,0.000253893026404875,0,0,0,0,0.0103747033828155,0.0158976588213376,0.00904794836330106,"Bacteria","Chloroflexi","OLB14","OLB14","OLB14"
"Oligoflexaceae",0,0,0,0,0,0,0,0,0.000645426274716893,0.00145348837209302,0.00120344988968376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Bdellovibrionota","Oligoflexia","Oligoflexales","Oligoflexaceae"
"OM190",0.000647249190938511,0.00151499043163938,0.00150146051158855,0.00581915846016115,0.0068733153638814,0.00656270696610272,0.00795478333682227,0.00726221079691517,0.00211230417180074,0,0.000334291636023267,0.000704225352112676,0.00261909818078856,0.00724077328646749,0.00575631595778702,0.00391013792122849,0.00456223087963912,0,0,0,0,0,0,0.00910545775619447,0.00552692044960566,0.000576302443522361,"Bacteria","Planctomycetota","OM190","OM190","OM190"
"Opitutaceae",0.000296655879180151,0,0,0,0,0,0,0,0,0,0,0.00089628681177977,0,0,0,0,0,0.00267791933782358,0.00245429925524712,0.00384955373691865,0.00615114235500879,0.00555311997661844,0.00145560407569141,0,0,0,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae"
"Oxalobacteraceae",0.00318230852211435,0.00116946629810759,0.000846277742895362,0.00231274246493584,0.00161725067385445,0.00234812451080739,0.00256437094410718,0.00327763496143959,0.00393123276418471,0.00245974955277281,0.00307548305141405,0.0087067861715749,0.002902243930063,0.00161687170474517,0,0,0,0.0269820660553437,0.0229350033852404,0.0145712737745587,0.0244162691438614,0.027911734619319,0.0255337214944202,0.00281441421555102,0.00229770850152146,0.0020746887966805,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae"
"Paenibacillaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202872677107847,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae"
"Paracaedibacteraceae",0,0.000797363385073357,0.000327591384346592,0,0.00141509433962264,0.00222770786922753,0.00125601842160352,0,0,0,0.00561609948519088,0.000320102432778489,0.00283145749274439,0,0.0015350175887432,0.00163514858524101,0.000307566126717244,0,0,0,0,0,0,0.00137961481154462,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae"
"Parachlamydiaceae",0.000593311758360302,0.00159472677014671,0.00262073107477273,0.00954938824231573,0.00929919137466307,0.00668312360768258,0.00696043541971949,0.00295629820051414,0.00704101390600246,0.00190071556350626,0.00568295781239553,0.000640204865556978,0.000991010122460537,0.0103339191564148,0.00767508794371602,0.00874449026020191,0.00830428542136559,0.000568043495901972,0.000550101557210562,0,0,0.000365336840567003,0.00139495390587094,0.00458032117432813,0.00801092964043967,0.00680036883356385,"Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Parachlamydiaceae"
"Parcubacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000941002024580113,0.000878734622144112,0.00116907788981441,0,0,0,0,"Bacteria","Patescibacteria","Parcubacteria","Parcubacteria","Parcubacteria"
"Parvibaculaceae",0,0.000186051456517117,0,0,0,0,0,0,0,0,0,0,0,0,0.000895426926766869,0.000639840750746481,0,0,0,0,0,0,0,0.000386292147232493,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Parvibaculales","Parvibaculaceae"
"Pasteurellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pasteurellaceae"
"Pedosphaeraceae",0.00415318230852211,0.00340208377631299,0.00180175261390625,0.00641599522530588,0.0144878706199461,0.00999458125112891,0.0126648524178355,0.0120179948586118,0.0176025347650062,0.00961538461538462,0.0114327739519957,0.00640204865556978,0.00983931478728676,0.00674868189806678,0.00396546210425328,0.00881558367695151,0.00574123436538856,0.00178527955854905,0.00220040622884225,0,0,0.00146134736226801,0,0.00717399702003201,0.0112401415885239,0.0165398801290917,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae"
"PeM15",0.00304746494066882,0.000159472677014671,0,0,0.000471698113207547,0,0,0.00070694087403599,0,0.000782647584973166,0,0.00512163892445583,0,0,0,0,0,0.0152154507830885,0.0158259986459039,0.00501867746442727,0.010293748430831,0.0130059915241853,0.013524987869966,0.00104850725677391,0.000434701608395951,0,"Bacteria","Actinobacteriota","Actinobacteria","PeM15","PeM15"
"Peptostreptococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00121723606264708,0.0010155721056195,0,0.000313833793622897,0.00416483998246383,0.00491266375545852,0,0,0,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae"
"Phormidiaceae",0.000296655879180151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Phormidiaceae"
"Phycisphaeraceae",0.000296655879180151,0.00100999362109292,0.00101007343506866,0.00201432408236347,0.00235849056603774,0.0010837497742188,0.00183169353150513,0.00282776349614396,0.00475268438655166,0.00380143112701252,0.00381092465066524,0.000320102432778489,0.00339774899129327,0.00147627416520211,0.00159897665494084,0.00255936300298592,0.00153783063358622,0,0,0,0,0,0,0.00171072236631532,0.00335341240762591,0.00167127708621485,"Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae"
